Date,Type,Description,Amount,RunningTotal
3028-01-01,Miscellaneous,Starting Funds,CSB 75000000,"75,000,000 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Javelin JVN-10F 'Fire Javelin',CSB -2361840,"72,638,160 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Spider SDR-5V,CSB -2984540,"69,653,620 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Hunchback HBK-4P,CSB -3377875,"66,275,745 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Griffin GRF-1S,CSB -4783507,"61,492,238 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Black Knight BL-7-KNT-L,CSB -6426438,"55,065,800 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Thunderbolt TDR-5SS,CSB -5320535,"49,745,265 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Grasshopper GHR-5H,CSB -6024573,"43,720,692 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Stalker STK-4N,CSB -7245525,"36,475,167 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Jump Platoon (Rifle),CSB -976714,"35,498,453 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Jump Platoon (SRM),CSB -5126683,"30,371,770 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Jump Platoon (Flamer),CSB -1092000,"29,279,770 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Strike Falcon Attack VTOL (Standard),CSB -498625,"28,781,145 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Javelin JVN-10F 'Fire Javelin',CSB -2361840,"26,419,305 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Hunchback HBK-4P,CSB -3377875,"23,041,430 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Thunderbolt TDR-5SS,CSB -5320535,"17,720,895 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Jump Platoon (Rifle),CSB -976714,"16,744,181 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Strike Falcon Attack VTOL (Standard),CSB -498625,"16,245,556 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Strike Falcon Attack VTOL (Standard),CSB -498625,"15,746,931 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Strike Falcon Attack VTOL (Standard),CSB -498625,"15,248,306 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Dervish DV-6M,CSB -4989967,"10,258,339 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased M.A.S.H. Truck (ICE),CSB -194333,"10,064,006 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Boomerang Spotter Plane (Standard),CSB -18238,"10,045,768 ComStar bill"
3028-01-01,Recruitment,Recruitment,CSB -123200,"9,922,568 ComStar bill"
3028-01-01,Unit Purchase(s),Purchased Heavy BattleMech Recovery Vehicle (Standard),CSB -585000,"9,337,568 ComStar bill"
3028-01-01,Recruitment,Recruitment of Hunter Dotson,CSB -1600,"9,335,968 ComStar bill"
3028-01-01,Recruitment,Recruitment of Mitya Chien,CSB -1600,"9,334,368 ComStar bill"
3028-01-01,Recruitment,Recruitment of Abdul Remexido,CSB -960,"9,333,408 ComStar bill"
3028-01-01,Recruitment,Recruitment of Vasquo Grimlot,CSB -1000,"9,332,408 ComStar bill"
3028-01-01,Recruitment,Recruitment of Nicolette Kartosuwiryo,CSB -1000,"9,331,408 ComStar bill"
3028-01-01,Recruitment,Recruitment of Rosie Kenton,CSB -1000,"9,330,408 ComStar bill"
3028-01-01,Recruitment,Recruitment of Radhi Akua,CSB -600,"9,329,808 ComStar bill"
3028-01-01,Recruitment,Recruitment of Christian Capano,CSB -1000,"9,328,808 ComStar bill"
3028-01-01,Recruitment,Recruitment of Lance Gill,CSB -1000,"9,327,808 ComStar bill"
3028-01-01,Recruitment,Recruitment of Fela Corsie,CSB -600,"9,327,208 ComStar bill"
3028-01-01,Recruitment,Recruitment of Brendan Borton,CSB -1600,"9,325,608 ComStar bill"
3028-01-01,Recruitment,Recruitment of Hypatia Brendel,CSB -600,"9,325,008 ComStar bill"
3028-01-01,Recruitment,Recruitment of Yasuhiro Kouki,CSB -1000,"9,324,008 ComStar bill"
3028-01-01,Recruitment,Recruitment of Kuang-an Wen,CSB -600,"9,323,408 ComStar bill"
3028-01-01,Recruitment,Recruitment of Christyn Brouwers,CSB -1000,"9,322,408 ComStar bill"
3028-01-01,Recruitment,Recruitment of Dayo Mudrik,CSB -3200,"9,319,208 ComStar bill"
3028-01-01,Recruitment,Recruitment of George Kirkup,CSB -600,"9,318,608 ComStar bill"
3028-01-01,Recruitment,Recruitment of Marquart Tsui,CSB -1600,"9,317,008 ComStar bill"
3028-01-01,Recruitment,Recruitment of Karen Hawksly,CSB -1000,"9,316,008 ComStar bill"
3028-01-01,Recruitment,Recruitment of Euphemia Poniros,CSB -1600,"9,314,408 ComStar bill"
